Date,Open,High,Low,Close,Volume
2016-02-29,1448.04,1463.79,1193.85,1297.85,58172233984
2016-03-31,1295.16,1384.35,1284.5,1347.2,47475605120
2016-04-30,1343.24,1412.98,1250.77,1340.55,45718516352
2016-05-31,1316.57,1380.88,1289.01,1379.8,38066313856
2016-06-30,1369.96,1374.37,1192.8,1245.82,44579483776
2016-07-31,1254.87,1347.24,1209.88,1322.74,40976123008
2016-08-31,1308.3,1331,1262.86,1329.54,38920597888
2016-09-30,1330.77,1357.41,1296.39,1322.78,35716651776
2016-10-31,1332.14,1393.44,1329.06,1393.02,34072649600
2016-11-30,1391.97,1473.02,1287.39,1469.43,48108783872
2016-12-31,1486.08,1558.75,1462.07,1518.61,46445657088
2017-01-31,1533.04,1558.45,1495.03,1521.67,36097352960
2017-02-28,1511.26,1559.51,1507.08,1535.32,38828773120
2017-03-31,1543.11,1578.51,1512.6,1512.6,39764623872
2017-04-30,1518.9,1538.89,1452.15,1531.8,38271657344
2017-05-31,1531.45,1590.7,1530.31,1568.37,37702754816
2017-06-30,1570.47,1627.54,1570.24,1611.9,39460638976
2017-07-31,1613.65,1636.53,1602.47,1618.61,33419967360
2017-08-31,1619.13,1642.34,1589.05,1617.41,34984709760
2017-09-30,1624.37,1679.83,1578.66,1674.75,33473788800
2017-10-31,1677.77,1772.59,1671.05,1765.96,34443238400
2017-11-30,1775.99,1844.05,1737.72,1792.08,36384441216
2017-12-31,1804.8,1833.28,1761.18,1817.56,30594683136
2018-01-31,1841.2,1911.31,1836.68,1836.71,29426853632
2018-02-28,1849.53,1870.94,1691.65,1768.24,32197254784
2018-03-31,1754.43,1754.53,1645.16,1716.3,29274984704
2018-04-30,1716.32,1780.38,1687,1777.23,28737539712
2018-05-31,1774.36,1819.74,1731.28,1747.45,32095193088
2018-06-30,1742.65,1802.94,1711.75,1730.89,29789598720
2018-07-31,1725.55,1775.76,1671.95,1753.29,28204525312
2018-08-31,1762.92,1774.34,1667.95,1735.35,29679147264
2018-09-30,1730.77,1828.23,1673.92,1817.25,26138301504
2018-10-31,1814.05,1838.3,1581.56,1646.12,32880305744
2018-11-30,1647.1,1687.68,1598.54,1667.45,30773521100
2018-12-31,1687.77,1696.14,1408.89,1494.09,28697984100
2019-01-31,1468.42,1574.86,1446.48,1567.49,23524595600
2019-02-28,1565.63,1624.42,1536.65,1607.66,23723336400
2019-03-31,1612.47,1629.88,1570.39,1591.64,24741557800
2019-04-30,1612.13,1633.96,1600.49,1617.93,23102984000
2019-05-31,1616.84,1617.26,1508.85,1512.28,26517804300
2019-06-30,1491.54,1563.45,1490.28,1551.14,22111289600
2019-07-31,1573.09,1593.5,1531.31,1565.14,22405449100
2019-08-31,1556.12,1568.41,1462.41,1511.86,23818190600
2019-09-30,1506.12,1635.88,1501.11,1587.8,24203478600
2019-10-31,1595.35,1669.91,1560.83,1667.01,24880616100
2019-11-30,1653.8,1719.57,1653.72,1699.36,25537201500
2019-12-31,1705.99,1747.2,1691.15,1721.36,22885969600
2020-01-31,1699.6,1745.95,1667.3,1684.44,21403977400
2020-02-29,1660.66,1744.43,1500.87,1510.87,25489044900
2020-03-31,1488.96,1551.99,1199.25,1403.04,48124197900
2020-04-30,1388.66,1478.84,1314.11,1464.03,29415459100
2020-05-31,1452.46,1578.5,1418.88,1563.67,25503285800
2020-06-30,1563.81,1633.4,1530.78,1558.77,29923470700
